"","protein1","protein2"
"2710817","Her2","NF-kB p65"
"2711194","Her2","iNOS"
"2711254","Her2","Fibronectin"
"2711466","Her2","FOXP3"
"2862412","GZMA","CD15"
"2862431","GZMA","Ki-67"
"2862438","GZMA","NF-kB p65"
"2862456","GZMA","CD27"
"2862487","GZMA","p53"
"2862587","GZMA","Fibronectin"
"2862633","GZMA","FOXP3"
"2862713","GZMA","CD31"
"2862727","GZMA","ICAM1"
"2862748","GZMA","Vimentin"
"2862781","GZMA","IDO1"
"2862810","GZMA","EpCAM"
"2862826","GZMA","IL-18"
"2862844","GZMA","TCF7"
"2862869","GZMA","CD3"
"2862881","GZMA","CD68"
"2862903","GZMA","CD4"
"2862927","GZMA","CTLA4"
"2862947","GZMA","4-1BB"
"2862962","GZMA","VISTA"
"2862981","GZMA","IL-1b"
"2863019","GZMA","CD123"
"2863049","GZMA","LAG3"
"2863064","GZMA","CD45"
"2863096","GZMA","Her2"
"2863128","GZMA","ICOS"
"2863151","GZMA","Tim-3"
"2863168","GZMA","CD127"
"2863196","GZMA","pan-RAS"
"2863333","GZMA","CD40"
"2863340","GZMA","HLA-DR"
"2863367","GZMA","GZMB"
"2863432","GZMA","CD38"
"2863468","GZMA","SMA"
"2863476","GZMA","CCR7"
"2863494","GZMA","CD34"
"2863583","GZMA","B7-H3"
"2863611","GZMA","EGFR"
"2863630","GZMA","PD-L1"
"2863723","GZMA","PD-L2"
"2906395","EGFR","B7-H3"
"2906530","EGFR","PD-L1"
"2906868","EGFR","PD-L2"
"2907291","EGFR","CD38"
"2907326","EGFR","CD34"
"2907419","EGFR","SMA"
"2907481","EGFR","CCR7"
"2908099","EGFR","CD40"
"2908276","EGFR","GZMB"
"2908294","EGFR","HLA-DR"
"2908508","EGFR","LAG3"
"2908560","EGFR","CD45"
"2908653","EGFR","ICOS"
"2908699","EGFR","Her2"
"2908756","EGFR","FABP4"
"2908768","EGFR","CD127"
"2908916","EGFR","Tim-3"
"2909041","EGFR","pan-RAS"
"2909140","EGFR","CD4"
"2909372","EGFR","VISTA"
"2909415","EGFR","CTLA4"
"2909437","EGFR","4-1BB"
"2909600","EGFR","IL-1b"
"2909765","EGFR","CD123"
"2909885","EGFR","Vimentin"
"2909971","EGFR","CD31"
"2909996","EGFR","ICAM1"
"2910081","EGFR","IDO1"
"2910131","EGFR","GZMA"
"2910280","EGFR","IL-18"
"2910376","EGFR","EpCAM"
"2910449","EGFR","CD3"
"2910493","EGFR","CD68"
"2910549","EGFR","TCF7"
"2910661","EGFR","Fibronectin"
"2910750","EGFR","iNOS"
"2911069","EGFR","FOXP3"
"2911324","EGFR","NF-kB p65"
"2911416","EGFR","CD15"
"2911446","EGFR","Ki-67"
"2911530","EGFR","p53"
"2911591","EGFR","CD27"
"3029444","IL-18","HLA-DR"
"3029502","IL-18","GZMB"
"3029564","IL-18","CD40"
"3029568","IL-18","Her2"
"3029591","IL-18","FABP4"
"3029632","IL-18","ICOS"
"3029647","IL-18","LAG3"
"3029665","IL-18","CD45"
"3029711","IL-18","pan-RAS"
"3029779","IL-18","Tim-3"
"3029801","IL-18","CD127"
"3029841","IL-18","PD-L1"
"3029910","IL-18","B7-H3"
"3029952","IL-18","EGFR"
"3029998","IL-18","PD-L2"
"3030090","IL-18","CD38"
"3030241","IL-18","CCR7"
"3030258","IL-18","CD34"
"3030359","IL-18","iNOS"
"3030386","IL-18","Fibronectin"
"3030454","IL-18","FOXP3"
"3030509","IL-18","CD27"
"3030550","IL-18","p53"
"3030558","IL-18","CD15"
"3030598","IL-18","NF-kB p65"
"3030728","IL-18","CTLA4"
"3030755","IL-18","4-1BB"
"3030814","IL-18","CD4"
"3030872","IL-18","CD123"
"3030930","IL-18","IL-1b"
